"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0.00,476,500,1.75E-03,97.4,95,4,,,11/29/2018,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Student built.,Estimated
Aalto-1 ,Finland,Finland,University of Aalto,Civil,Technology Development,,LEO,,0.00,497,517,1.45E-03,97.45,94.7,5,,4.5,6/23/2017,2,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,JMSatcat/10_17
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,442,687,1.77E-02,98.2,95.9,1,,,4/25/2016,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,Space50
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",,"16,000",2/6/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",ZARYA
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75.00,"35,700","35,700",0.00E+00,0,1436.1,"1,800",,,6/15/2016,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,Estimated
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3.00,"35,788","35,803",1.78E-04,0.1,1436,"2,000",,,3/2/2015,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75.00,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143","1,700","7,400",3/13/2004,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,JM/12_08
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159.00,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",JM/12_08
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/1999,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",JM/12_08
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26.00,"35,560","36,013",5.37E-03,7.72,1436.14,"4,500",,,5/9/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,JM/12_08
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.40,"35,589","35,984",4.68E-03,3.2,1436.1,"4,500",,,9/9/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,JM/12_08
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44.00,"35,714","35,937",2.64E-03,2.89,1438.8,"5,000",,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,SC - ASCR
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,100.90,"35,500","35,500",0.00E+00,0,1436,"5,000",,,11/21/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,SC - ASCR
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60.00,"35,771","35,805",4.03E-04,0,1436.1,"5,000",,,6/29/2012,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,CalSky
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.60,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",,,6/11/2016,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,ZARYA
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,,GEO,,-120.00,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",,,5/3/2012,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,ZARYA
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,,GEO,,152.10,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",,,9/18/2013,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.,ZARYA
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,USA,US Air Force,Military,Communications,,GEO,,150.20,"35,781","35,790",1.07E-04,0.05,1436.1,"6,169",,,10/17/2018,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2018-079A,43651,,JMGEO/11_19)
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",NR (11/19),USA,US Air Force,Military,Communications,,GEO,,0.00,"35,780","35,810",3.56E-04,6.4,1436.2,"6,169",,,8/8/2019,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2019-051A,44481,,JMGEO/11_19)
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0.00,480,790,2.21E-02,0.02,97.4,3,,,9/13/2012,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.,ZARYA
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0.00,314,317,2.24E-04,96.7,92.4,"1,367",,,8/22/2018,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,2018-066A,43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment.",JMSatcat/11_18
Aerocube 10A (Jimsat),NR (11/19),USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,469,481,8.77E-04,51.6,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,,JMSatcat/11_19
Aerocube 10B (Dougsat),NR (11/19),USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,471,483,8.76E-04,51.6,94.15,2,,,8/9/2019,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,,JMSatcat/11_19
Aerocube 11A (TOMSat Eagle Scout),NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.00,495,511,1.16E-03,85.03,94.6,4,,,12/17/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.,JMSatcat/3_19
Aerocube 11B (TOMSat R3),NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.00,492,511,1.38E-03,85.3,94.6,4,,,12/17/2018,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.,JMSatcat/3_19
Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,481,487,4.38E-04,51.6,94.2,4,,,7/16/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,,JMSatcat/3_19
Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,481,487,4.38E-04,51.6,94.2,4,,,7/16/2018,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,,JMSatcat/3_19
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,500,802,2.15E-02,64.78,97.74,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",JR/12_15
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,614,700,6.12E-03,97.98,97.88,5,,,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,ZARYA
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,614,700,6.12E-03,97.98,97.88,5,,,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,ZARYA
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,500,802,2.15E-02,64.6,97.4,2,,,10/8/2015,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,JM/12_15
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,356,700,2.49E-02,55,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,JM/8_15
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.00,356,700,2.49E-02,55,95.19,5,,,5/20/2015,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,JM/8_15
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,572,584,8.64E-04,98,96.23,2,,,11/11/2016,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,,prehled druzic
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48.00,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460","1,555","7,000",12/20/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,JM/12_08
AIM (Aeronomy of Ice in Mesosphere),USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.00,544,552,5.78E-04,97.9,96.2,215,197,216,4/25/2007,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,www.satellitedebris.net 12/12
