Continent,Country,Location,Latitude,Longitute,Year Opened,Year Closed,Number of rocket launches,Heaviest rocket launched,Highest achieved Orbit
Africa,Algeria,"Hammaguira French Special Weapons Test Centre, Hammaguir",31.09951,-2.83581,1947,1967,Unkown,18000,Orbital  
Africa,Algeria,Reggane,26.71895,0.27691,1961,1965,10  ,Unkown,Unkown
Africa,Congo DRC,"Shaba North, Kapani Tonneo OTRAG Launch Center",-7.92587,28.52766,1977,1978,3  ,Unkown,Suborbital
Africa,Egypt,Jabal Hamzah ballistic missile test and launch facility,30.12575,30.60514,1950,Operational,6  ,Unkown,Unkown
Africa,Kenya,"Broglio Space Centre (San Marco), Malindi",-2.9408,40.2134,1964,1994,27  ,20000,Orbital  
Africa,Libya,"Sabha, Tawiwa OTRAG Launch Center",26.99392,14.46425,1981,1982,Unkown,Unkown,Suborbital
Africa,Mauritania,Nouadhibou,20.92856,17.03153,1973,1973,1  ,Unkown,Unkown
Africa,South Africa,Overberg South African Test Centre,34.60265,-20.30248,1989,1990,Unkown,Unkown,Unkown
Asia,China,"Base 603, Shijiedu, Guangde",-30.93743,119.20575,1960,1966,Unkown,1000,Suborbital
Asia,China,Jiuquan Satellite Launch Center,41.11803,100.4633,1970,Operational,Unkown,464000,Orbital  
Asia,China,Taiyuan Satellite Launch Center,39.14321,111.96741,1980,Operational,Unkown,Unkown,Orbital  
Asia,China,Xichang Satellite Launch Center,28.24646,102.02814,1984,Operational,Unkown,Unkown,Lunar  
Asia,China,Wenchang Satellite Launch Center,19.61449,110.9511,2016,Operational,Unkown,Unkown,Unkown
Asia,China,Jingyu,42,126.5,Unkown,Unkown,Unkown,Unkown,Unkown
Asia,India,"Vikram Sarabhai Space Centre, Thiruvananthapuram, thumba",8.5314,76.869,1962,Operational,2000  ,Unkown,Unkown
Asia,India,"Balasore, in the state of Odisha[citation needed]",20.97582,87.04913,Unkown,Unkown,Unkown,Unkown,Unkown
Asia,India,"Satish Dhawan Space Centre (Sriharikota), Andhra Pradesh",13.7374,80.2351,1971,Operational,Unkown,402000,Interplanetary  
Asia,India,Abdul Kalam Island,20.75804,87.085533,Unkown,Unkown,Unkown,Unkown,Unkown
Asia,Indonesia,"Stasiun Peluncuran Roket, Pameungpeuk, Garut",-7.646643,107.689018,1965,Operational,14,765,Suborbital
Asia,Iran,Qom Space Center,34.65,50.9,1991,Operational,Unkown,Unkown,Unkown
Asia,Iran,Emamshahr Space Center,36.42,55.02,1998,Operational,Unkown,Unkown,Unkown
Asia,Iran,Semnan spaceport,35.234631,53.920941,2009,Operational,2  ,Unkown,Orbital  
Asia,Iraq,Al-Anbar Test Centre,32.7822,44.29962,1989,Operational,Unkown,Unkown,Unkown
Asia,Israel,Palmachim Air Force Base,31.88484,34.6802,1987,Operational,9  ,70000,Orbital  
Asia,Japan,Akita Rocket Range,39.57148,140.05785,1956,1990,81  ,Unkown,Orbital  
Asia,Japan,Uchinoura Space Center,31.25186,131.07914,1962,Operational,Unkown,139000,Interplanetary  
Asia,Japan,"Tanegashima Space Center, Tanegashima Island",30.39096,130.96813,1967,Operational,Unkown,445000,Interplanetary  
Asia,Japan,Ryori,39.03,141.83,1970,Operational,Unkown,Unkown,Unkown
Asia,Japan,Niijima,34.33766,139.26575,Unkown,Unkown,Unkown,Unkown,Unkown
Asia,Japan,Obachi,40.70342,141.36938,Unkown,Unkown,Unkown,Unkown,Unkown
Asia,Kazakhstan,"Baikonur Cosmodrome, Tyuratam",45.95515,63.35028,1957,Operational,1000  ,2400000,Interplanetary  
Asia,Kazakhstan,Sary Shagan,46.38,72.87,1958,Operational,Unkown,Unkown,Unkown
Asia,"Korea, North",Musudan-ri,40.85572,129.66587,1998,Operational,Unkown,Unkown,Unkown
Asia,"Korea, North",Sohae,39.66,124.705,2012,Operational,Unkown,Unkown,Unkown
Asia,Korea South,Anhueng,36.70211,126.47158,1993,Operational,Unkown,Unkown,Unkown
Asia,"Korea, South","Naro Space Center, Gohueng",34.42585,127.52793,2008,Operational,3  ,Unkown,Orbital  
Asia,Maldives,Gan Island,-0.69328,73.15672,Unkown,Unkown,Unkown,Unkown,Unkown
Asia,Pakistan,"Sonmiani Satellite Launch Center, Las Bela, Balochistan",25.19242,66.74881,1960,Operational,Unkown,Unkown,Unkown
Asia,Pakistan,"Tilla Satellite Launch Center, Jhelum District, Punjab",33.3961,73.29608,1980,Operational,Unkown,Unkown,Unkown
Asia,Russia,Kheysa[citation needed],80.45,58.05,1956,1980,Unkown,Unkown,Unkown
