,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,Continent
0,French Algeria,"Centre interarmées d'essais d'engins spéciaux (CIEES), Hammaguir",31°05′58″N 2°50′09″W﻿ / ﻿31.09951°N 2.83581°W,1947–1967,230.0,18 000 kg,Orbital,Operated by France.[1],Africa
1,Algeria,Reggane,26°43′08″N 0°16′37″E﻿ / ﻿26.71895°N 0.27691°E,1961–1965,10.0,,,,Africa
2,Zaire,"Shaba North, Kapani Tonneo OTRAG Launch Center",7°55′33″S 28°31′40″E﻿ / ﻿7.92587°S 28.52766°E,1977–1978,3.0,,<50 km,German OTRAG rockets.[2],Africa
3,Egypt,Jabal Hamzah ballistic missile test and launch facility,30°07′32.7″N 30°36′18.5″E﻿ / ﻿30.125750°N 30.605139°E,1962–1973,6.0,,,Testing SRBMs Al Zafir and Al Kahir[3][4],Africa
4,Kenya,"Broglio Space Centre (San Marco), Malindi",2°56′27″S 40°12′48″E﻿ / ﻿2.94080°S 40.21340°E,1964–1988,27.0,20 000 kg,Orbital,"Scout rockets, operated by ASI and Sapienza University of Rome, Italy.[5]",Africa
5,Libya,"Sabha, Tawiwa OTRAG Launch Center",26°59′38″N 14°27′51″E﻿ / ﻿26.99392°N 14.46425°E,1981–1982,,,50 km,German OTRAG rockets.[6],Africa
6,Mauritania,Nouadhibou,20°55′43″N 17°01′54″W﻿ / ﻿20.92856°N 17.03153°W,1973–1973,1.0,,,During a solar eclipse,Africa
7,South Africa,Overberg South African Test Centre,34°36′10″S 20°18′09″E﻿ / ﻿34.60265°S 20.30248°E,1989–1990,,,,Launched test mission rockets only.[7],Africa
8,China,"Base 603, Shijiedu, Guangde",30°56′15″N 119°12′21″E﻿ / ﻿30.93743°N 119.20575°E,1960–1966,,1 000 kg,<60 km,,Asia
9,China,Jiuquan Satellite Launch Center,40°57′38″N 100°17′54″E﻿ / ﻿40.96056°N 100.29833°E,1970–,,464 000 kg,Orbital,Human spaceflight[8],Asia
10,China,Taiyuan Satellite Launch Center,39°08′36″N 111°58′03″E﻿ / ﻿39.14321°N 111.96741°E,1980–,,249 000 kg,Orbital,Polar satellites[9],Asia
11,China,Xichang Satellite Launch Center,28°14′47″N 102°01′41″E﻿ / ﻿28.24646°N 102.02814°E,1984–,,459 000 kg,Lunar,"Geo-synchronous satellites, lunar probes.[10][11]",Asia
12,China,Wenchang Satellite Launch Center,19°36′52.17″N 110°57′4.08″E﻿ / ﻿19.6144917°N 110.9511333°E,2016–,,879 000 kg,Interplanetary,New site on Hainan Island with pads for Long March 5 and Long March 7 rockets,Asia
13,China,Jingyu,42°00′N 126°30′E﻿ / ﻿42.0°N 126.5°E,,,,,,Asia
14,India,"Vikram Sarabhai Space Centre, Thiruvananthapuram (Thumba), Kerala",8°31′53″N 76°52′08″E﻿ / ﻿8.5314°N 76.8690°E,1962–,,,,[12],Asia
