,Year,Origin,Name,Target,Status,Description
0,1970,Japan,Ohsumi,Earth,Success,First Japanese satellite
1,1970,West Germany,DIAL,Earth,Success,Second German satellite. Launch by a French Diamant B from Kourou
2,1970,Soviet Union,Venera 7,Venus,Success,First successful landing of a spacecraft on another planet
3,1970,Soviet Union,Luna 16,Moon,Success,Lander is the first automated return of samples from the Moon
4,1970,Soviet Union,Zond 8,Moon,Success,Flyby
5,1970,Soviet Union,Luna 17/Lunokhod 1,Moon,Success,Lander/rover is the first automated surface exploration of the Moon
6,1970,France,PEOLE,Earth,Success,First French communication satellite.
7,1970,UK,Orba (satellite),Earth,Failure,Second stage of rocket shutdown 13 seconds early
8,1970,USA,Uhuru,Earth,Success,First dedicated X-ray astronomy satellite
9,1970,China,Dong Fang Hong I,Earth,Success,First Chinese satellite
10,1971,Soviet Union,Luna 18,Moon,Failure,Lander
11,1971,Soviet Union,Luna 19,Moon,Success,Orbiter
12,1971,USA,Mariner 8,Mars,Failure,Orbiter. Lost due to launch failure.
13,1971,France,Tournesol,Earth,Success,First French satellite with active attitude control. Hydrogen measurement.
14,1971,France,Polaire,Earth,Failure,Second stage explosion
15,1971,Soviet Union,Cosmos 419,Mars,Failure,Probe
16,1971,Soviet Union,Mars 2,Mars,Failure,"Orbiter and lander, created the first human artifact on Mars"
17,1971,Soviet Union,Mars 3,Mars,Success,"Orbiter and lander, first successful landing on Mars"
18,1971,USA,Mariner 9,Mars,Success,"Orbiter, first pictures of Mars' moons (Phobos and Deimos) taken"
19,1971,Canada,ISIS 2,Earth,Success,
20,1971,Japan,Shinsei,Earth,Partial success,First Japanese science satellite
21,1971,UK,Prospero X-3,Earth,Success,"Satellite, first satellite launched by Britain using a British rocket"
22,1971,UK,Ariel 4,Earth,Success,
23,1972,Soviet Union,Venera 8,Venus,Success,Lander
24,1972,Soviet Union,Luna 20,Moon,Success,Lander
25,1972,USA/ UK,Copernicus – Orbiting Astronomical Observatory-3,Earth,Success,
26,1972,USA,Pioneer 10,Jupiter,Success,First spacecraft to encounter Jupiter
27,1972,USA,Explorer 49,Sun,Success,Solar probe
28,1973,USA,Mariner 10,Venus/Mercury,Success,"It passed by and photographed Mercury, also was the first dual planet probe"
29,1973,USA,Pioneer 11,Jupiter/Saturn,Success,First spacecraft to encounter Saturn
30,1973,France,Castor Pollux,Earth,Failure,"Reached orbit but the fairing failed to deploy, failing the launch"
31,1973,Soviet Union,Luna 21/Lunokhod 2,Moon,Success,Lander/rover
32,1973,Soviet Union,Mars 4,Mars,Failure,Orbiter
33,1973,Soviet Union,Mars 5,Mars,Success,Orbiter
34,1973,Soviet Union,Mars 6,Mars,Failure,Orbiter and lander
35,1973,Soviet Union,Mars 7,Mars,Failure,Orbiter and lander
36,1974,West Germany,Helios 1,Sun,Success,Solar probe
37,1974,Soviet Union,Luna 22,Moon,Success,Orbiter
38,1974,Soviet Union,Luna 23,Moon,Failure,Probe
39,1974,UK,Ariel 5,Earth,Success,X-ray satellite
40,1975,Soviet Union,Venera 9,Venus,Success,Returns the first pictures of the surface of Venus
41,1975,Soviet Union,Venera 10,Venus,Success,Orbiter and lander
42,1975,France,Starlette,Earth,Success,Laser reflector for earth based measurement
43,1975,France,Castor Pollux,Earth,Success,"Castor tested a new accelerometer, Pollux tested hydrazine based thrusters"
