,Spaceport,Location,Years(orbital),Launchesto orbit or inter-planetary,Launch vehicles(operators),Sources
0,"Baikonur Cosmodrome, Baikonur/Tyuratam, Kazakhstan[11]",Kazakhstan,1957–,">1,000","R-7/Soyuz, Kosmos, Proton, Tsyklon, Zenit, Energia",[citation needed]
1,"Cape Canaveral Space Force Station, Florida, US[12]",US,1958–,>400,"Delta, Scout, Atlas, Titan, Saturn, Athena, Falcon 9",[citation needed]
2,"Vandenberg Space Force Base, California, US[13]",US,1959–,>700,"Delta, Scout, Atlas, Titan, Taurus, Athena, Minotaur, Falcon 9",[14]
3,"Wallops Flight Facility, Virginia, US[15] (see also MARS below)",US,1961–1985,19,Scout,6[16]+13[17]
4,"Kapustin Yar Cosmodrome, Astrakhan Oblast, Russia[18]",Russia,1962–2008,85,Kosmos,[18][citation needed]
5,"Hammaguir French Special Weapons Test Centre, Algeria[19]",Algeria,1965–1967,4,Diamant A (France),Diamant
6,"Plesetsk Cosmodrome, Arkhangelsk Oblast, Russia[20]",Russia,1966–,">1,500","R-7/Soyuz, Kosmos, Tsyklon-3, Rokot, Angara",[20]
7,"San Marco platform, Broglio Space Centre, Malindi, Kenya[21]",Kenya,1967–1988,9,"Scout (ASI and Sapienza, Italy)",Broglio
8,"Kennedy Space Center, Florida, US[12]",US,1967–,187,"17 Saturn, 135 Space Shuttle, 32 Falcon 9, 3 Falcon Heavy","Saturn, STS, F9"
9,"Woomera Prohibited Area, South Australia[22]",Australia,"1967, 1971",2,"Redstone (WRESAT), Black Arrow (UK Prospero X-3)","WRESAT, X-3"
10,"Uchinoura Space Center (Kagoshima), Japan[23]",Japan,1970–,31,"27 Mu, 3 Epsilon, 1 SS-520-5","[23] M, ε, S"
11,"Guiana Space Centre, Kourou, French Guiana, France[24]",French Guiana,1970–,261,"7 Diamant, 227 Ariane, 16 Soyuz-2, 11 Vega",see 4 rockets
12,"Jiuquan Satellite Launch Center, China[25]",China,1970–,85,"2 LM1, 3 LM2A, 20 LM2C, 36 LM2D, 13 LM2F, 3 LM4B, 5 LM4C, 3 LM11",See 8 rockets
13,"Tanegashima Space Center, Japan[26]",Japan,1975–,65,"6 N-I, 8 N-II, 9 H-I, 6 H-II, 36 H-IIA",see 5 rockets
14,"Satish Dhawan Space Centre (SHAR), Andhra Pradesh, India[27]",India,1979–,77,"4 SLV, 4 ASLV, 53 PSLV, 13 GSLV, 3 GSLV Mk III",List SDSC
15,"Xichang Satellite Launch Center, China[28]",China,1984–,104,"Long March: 6 LM2C, 5 LM2E, 11 LM3, 25 LM3A, 42 LM3B, 15 LM3C",See 6 rockets
16,"Taiyuan Satellite Launch Center, China[29]",China,1988–,62,"Long March: 16 LM2C, 2 LM2D, 2 LM4A, 25 LM4B, 15 LM4C, 2 LM6",See 6 rockets
17,"Palmachim Air Force Base, Israel[30]",Israel,1988–,8,Shavit,Shavit
18,"various airport runways (B-52, Stargazer)",various,1990–,39,Pegasus (Orbital Sciences Corporation),Pegasus
19,"Svobodny Cosmodrome, Amur Oblast, Russia[31]",Russia,1997–2006,5,Start-1,[31]
20,"Delta class submarine, Barents Sea",Barents Sea,"1998, 2006",2,Shtil' (Russia),Shtil'
21,"Odyssey mobile platform, Pacific Ocean",Pacific Ocean,1999–2014,32,Zenit-3SL (Sea Launch),Sea Launch
22,"Pacific Spaceport Complex (Kodiak), Alaska, US[32][33]",US,2001–,3,"1 Athena, 2 Minotaur IV",Kodiak
23,"Yasny Cosmodrome (Dombarovsky), Orenburg Oblast, Russia[34]",Russia,2006–,10,Dnepr,Dnepr
24,"Mid-Atlantic Regional Spaceport (MARS), Virginia, US[35]",US,2006–,12,"5 Minotaur I, 6 Antares, 1 Minotaur V",MARS
25,"Omelek, Kwajalein Atoll, Marshall Islands",Marshall Islands,2008–2009,5,5 Falcon 1 (US),Falcon 1
26,"Semnan Space Center, Semnan, Iran[36][37]",Iran,2009–,5,"Safir, Simorgh, Zuljanah",Safir
27,"Sohae Satellite Launching Station, North Korea",North Korea,2012–,2,Unha-3,K3-U2[38]
28,"Naro Space Center, South Jeolla, South Korea[39]",South Korea,2013–,3,3 Naro-1,Naro-1
29,"Vostochny Cosmodrome, Amur Oblast, Russia",Russia,2016–,8,8 Soyuz-2,Vostochny
30,"Wenchang Satellite Launch Center, China",China,2016–,8,"Long March: 5 LM5, 3 LM7",See 2 rockets
31,"Rocket Lab Launch Complex 1, New Zealand",New Zealand,2018–,20,20 Electron,Electron (rocket)
